case_id,use_case,expected_title,search_query,metadata_filter_applied,rag_score,passed,accuracy,rank,avg_distance,best_distance,top_distance,avg_rerank_score,top_rerank_score,best_rerank_score,faithfulness,answer_relevance,context_relevance,semantic_context_precision,semantic_context_recall,semantic_retrieval_hit,semantic_retrieval_top1,semantic_retrieval_rank,semantic_reciprocal_rank,context_precision,context_recall,exact_title_precision,exact_title_recall,exact_match,reference_title_retrieved,hallucination_detected,uses_correct_context,wrong_context,expected_title_mentioned,generation_error,judge_error
case-001,genre_rating,Stuart Little 2,Recommend a Adventure movie with a lower IMDb rating.,True,0.9,True,5,,0.4966969728469849,0.4545567035675049,0.4545567035675049,1.6226020812988282,2.3385140895843506,2.3385140895843506,5,5,4,4,4,True,True,1,1.0,0.8,0.8,0.0,0.0,False,False,False,True,False,False,,
case-002,director_year,The Lego Movie 2: The Second Part,Suggest movies like an Animation film directed by Mike Mitchell around 2019.,True,1.0,True,5,1,0.6072792768478393,0.5745176672935486,0.5745176672935486,2.7265968322753906,6.234366416931152,6.234366416931152,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-003,actor_genre,Prozac Nation,I want to watch a Biography movie about Elizabeth Wurtzel or similar cast.,True,0.5,False,2,,0.5459115862846374,0.4167092442512512,0.4167092442512512,-0.7599624514579773,2.4301326274871826,2.4301326274871826,3,2,3,3,2,True,True,1,1.0,0.6,0.4,0.0,0.0,False,False,True,True,False,False,,
case-004,duration_certificate,Richard Jewell,Recommend a Biography movie rated R and longer than two hours.,True,0.6,False,1,,0.5057912230491638,0.4627593159675598,0.47296321392059326,1.2436478853225708,1.7551624774932861,1.7551624774932861,1,1,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,True,False,True,False,,
case-005,multi_constraint,Night at the Museum,"Find a Adventure, Comedy, Family movie from around 2006, with a moderate IMDb rating, preferably directed by someone like Shawn Levy.",True,1.0,True,5,1,0.5731251001358032,0.46362000703811646,0.5851404666900635,4.558954238891602,6.6934709548950195,6.6934709548950195,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-006,vague_preference,Capote,Recommend something similar in profile to a Biography movie from the 2005 period.,True,1.0,True,5,,0.7152012467384339,0.6388628482818604,0.6963855028152466,-1.1721672058105468,-0.6777303218841553,-0.6777303218841553,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-007,out_of_scope,Six-Hundred & Sixty Six,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5619586825370788,0.4970123767852783,0.5014501810073853,-9.03364086151123,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-008,genre_rating,"Jabondang seoneon: Mangukui nodongjayeo, chukcheothara!",Recommend a Drama movie with a moderate IMDb rating.,True,0.9333333333333332,True,4,,0.5259897708892822,0.4929209351539612,0.4929209351539612,0.96743825674057,1.423257827758789,1.423257827758789,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-009,director_year,The Extraordinary Adventures of Adèle Blanc-Sec,Suggest movies like an Action film directed by Luc Besson around 2010.,True,1.0,True,5,1,0.6157899618148803,0.5586620569229126,0.5586620569229126,2.056768608093262,5.849191188812256,5.849191188812256,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-010,actor_genre,The Final Equation,I want a Sci-Fi movie featuring Robert Harriell or a similar cast profile.,True,0.7000000000000001,False,3,,0.6014623284339905,0.5768334269523621,0.6096947193145752,-1.8497511863708496,-1.0525987148284912,-1.0525987148284912,4,3,4,4,3,True,True,1,1.0,0.8,0.6,0.0,0.0,False,False,True,True,False,False,,
case-011,duration_certificate,The Mummy,Recommend a Action movie rated PG-13 and around two hours or less.,True,1.0,True,5,,0.5309863209724426,0.5085902214050293,0.5381335020065308,1.4317968010902404,3.0608692169189453,3.0608692169189453,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-012,multi_constraint,Virtually Heroes,"Find an Action movie from around 2013, with a moderate IMDb rating.",False,1.0,True,5,1,0.4970771551132202,0.4873497486114502,0.506842851638794,3.0220314502716064,5.19840145111084,5.19840145111084,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-013,vague_preference,Ice Princess,Recommend something similar in profile to a Comedy movie from the 2005 period.,True,0.9,True,4,,0.6162062525749207,0.5322527885437012,0.5525588989257812,-2.092696928977966,-1.7828341722488403,-1.7828341722488403,5,4,5,5,4,True,True,1,1.0,1.0,0.8,0.0,0.0,False,False,False,True,False,False,,
case-014,out_of_scope,Bizarre: A Circus Story,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5619586825370788,0.4970123767852783,0.5014501810073853,-9.03364086151123,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
